feature,avg_rank
remainder__prem_market,3.5
remainder__prem_final,4.75
remainder__prem_last,6.0
remainder__vehicl_agepurchase,6.75
remainder__polholder_age,6.75
remainder__policy_age,7.0
ordinalencoder__vehicl_region,7.0
ordinalencoder__prem_freqperyear,8.25
remainder__prem_pure,9.0
ordinalencoder__polholder_BMCevol,9.0
remainder__vehicl_age,10.0
ordinalencoder__polholder_diffdriver,10.25
ordinalencoder__polholder_gender,11.5
ordinalencoder__vehicl_garage,12.25
ordinalencoder__vehicl_powerkw,13.0
remainder__policy_nbcontract,14.5
ordinalencoder__policy_caruse,15.5
ordinalencoder__polholder_job,16.0
